Run,BioProject,SubGroup,g__Streptococcus,g__Actinomyces,g__Moraxella,g__Pseudomonas,g__Haemophilus,g__Granulicatella,g__Veillonella,g__Prevotella_7,g__Pasteurella,g__Rothia,g__Fusobacterium,g__Porphyromonas,g__Gemella,g__Janthinobacterium,g__Escherichia.Shigella,g__Atopobium,g__Stomatobaculum,g__Alloprevotella,g__Oribacterium,g__Neisseria,g__Limosilactobacillus,g__Abiotrophia,g__Leptotrichia,g__Prevotella,g__Ligilactobacillus,g__Capnocytophaga,g__Stenotrophomonas,g__Lautropia,g__Campylobacter,g__Corynebacterium,g__Acinetobacter,g__TM7x,g__Scardovia,g__Aeromonas,g__Staphylococcus,g__Bifidobacterium,g__Propionibacterium,g__Mogibacterium,g__Lachnoanaerobaculum,g__Tannerella,g__Alloscardovia,g__Flavobacterium,g__Megasphaera,g__Brevundimonas,g__Actinobacillus,g__F0058,g__Selenomonas,g__Fretibacterium,g__Centipeda,g__Tropheryma,g__Anaeroglobus,g__Turicibacter,g__Treponema,g__Romboutsia,g__Erysipelatoclostridium,g__Parvimonas,g__ASF356,g__Lactobacillus,g__Prevotellaceae.NK3B31.group,g__Lactococcus,g__Catonella,g__Dolosigranulum,g__Bergeyella,g__Filifactor,g__Akkermansia,g__Mycoplasma,g__Anaeroplasma,g__Peptostreptococcus,g__A2,g__Dialister,g__Lentimicrobium,g__Prevotellaceae.UCG.001,g__Rikenellaceae.RC9.gut.group,g__Lachnospiraceae.NK4A136.group,g__Clostridioides,g__Oscillibacter,g__Colidextribacter,g__Kingella,g__Phocaeicola,g__Granulicella,g__Solobacterium,g__Bacteroides,g__Planktomarina,g__Synechococcus.CC9902,g__HIMB11,g__Cardiobacterium,g__Propionigenium,g__Polaribacter,g__Paracoccus,g__Sulfurovum,g__Proteiniclasticum,g__Clade.Ia,g__Sphingomonas,g__.Eubacterium..nodatum.group,g__Amylibacter,g__Thermovirga,g__Nitrospira,g__Methanosaeta,g__Faecalibacterium,g__Arachidicoccus,g__Butyrivibrio,g__Marinifilum,g__Paludibacter,g__Syner.01,g__Methanolinea,g__Allobaculum,g__Johnsonella,g__Cyanobium.PCC.6307,g__Agathobacter,g__Tepidibacter,g__Candidatus.Saccharimonas,g__Polynucleobacter,g__Odoribacter,g__NS4.marine.group,g__Anaerolineaceae.UCG.001,g__Blastococcus,g__Cutibacterium,g__Blautia,g__Ileibacterium,g__Mobiluncus,g__Aminobacterium,g__Lachnospira,g__Pyramidobacter,g__Shuttleworthia,g__Fusibacter,g__Pseudarcicella,g__UCG.002,g__Proteiniphilum,g__Sulfitobacter,g__Oceanicaulis,g__F0332,g__Rhodovastum,g__Lutibacter,g__Chroococcidiopsis.SAG.2023,g__Dongia,g__.Eubacterium..yurii.group,g__Fusicatenibacter,g__Ercella,g__Candidatus.Actinomarina,g__Pseudarcobacter,g__Magnetovibrio,g__RBG.16.49.21,g__Petrimonas,g__Marmoricola,g__Gaiella,g__Endomicrobium,g__Rhodocytophaga,g__Blvii28.wastewater.sludge.group,g__Dubosiella,g__SWB02,g__Ilumatobacter,g__Acidothermus,g__Chryseobacterium,g__Prevotella_9,g__Aeromicrobium,g__Cryptobacterium,g__Tuzzerella,g__UCG.005,g__Ulvibacter,g__Streptomyces,g__Exilispira,g__Amnipila,g__ML602J.51,g__.Ruminococcus..gnavus.group,g__hgcI.clade,g__Pseudorhodobacter,g__RB41,g__Aurantivirga,g__Anaerolinea,g__Fluviicola,g__Family.XIII.UCG.001,g__Cryptanaerobacter,g__Mangrovibacterium,g__Mucilaginibacter,g__Balneola,g__Sediminibacterium,g__Enterococcus,g__Klebsiella,g__Fructilactobacillus,g__Hungatella,g__Serratia,g__Sphingobacterium,g__Alcaligenes,g__Finegoldia,g__Aggregatibacter,g__Subdoligranulum,g__Pseudochrobactrum,g__Eikenella,g__Geobacillus,g__Dorea,g__Dysgonomonas,g__.Ruminococcus..torques.group,g__Ruminococcus,g__Arsenicicoccus,g__Anaerostipes,g__Sphaerochaeta,g__CL500.29.marine.group,g__Luteococcus,g__.Eubacterium..hallii.group,g__Lacticaseibacillus,g__Castellaniella,g__.Eubacterium..eligens.group,g__Alistipes,g__Carnobacterium,g__Megamonas,g__Erysipelotrichaceae.UCG.003,g__Comamonas,g__Enhydrobacter,g__Yoonia.Loktanella,g__Collinsella,g__Lachnoclostridium,g__Cloacibacterium,g__Monoglobus,g__Micrococcus,g__Shinella,g__Lachnospiraceae.ND3007.group,g__Aquabacterium,g__DMER64,g__Coprococcus,g__Sphingorhabdus,g__.Eubacterium..ruminantium.group,g__Gemmobacter,g__Candidatus.Arthromitus,g__Catenibacterium,g__Parabacteroides,g__Parasutterella,g__Parapusillimonas,g__Limnobacter,g__Tissierella,g__Phascolarctobacterium,g__Arcobacter,g__CAG.56,g__Hydrogenophaga,g__.Eubacterium..siraeum.group,g__Thiobacillus,g__.Eubacterium..saphenum.group,g__Candidatus.Methylopumilus,g__Parascardovia,g__Limnohabitans,g__Asteroleplasma,g__Ralstonia,g__Rhodanobacter,g__NK4A214.group,g__Anaerococcus,g__Peptoniphilus,g__Gardnerella,g__Morganella,g__Muribaculum,g__Burkholderia.Caballeronia.Paraburkholderia,g__Roseburia,g__NS3a.marine.group,g__Brevinema,g__Bilophila,g__HT002,g__Achromobacter,g__Sutterella,g__S5.A14a,g__Nautella,g__Mucispirillum,g__Rhodococcus,g__Latilactobacillus,g__Thioalkalispira.Sulfurivermis,g__Helicobacter,g__Clostridium.sensu.stricto.1,g__UCG.003,g__Arenimonas,g__Hymenobacter,g__MND1,g__Streptobacillus,g__Candidatus.Nucleicultrix,g__Bulleidia,g__Edaphobaculum
ERR1288562,PRJEB12565,COPD_Stable,0,0,0,0,0,0,0,0,0,0.030232558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1288563,PRJEB12565,COPD_Stable,0.004084014,0.132730455,0,0.014585764,0,0,0.022170362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1288565,PRJEB12565,COPD_Stable,0.00436872,0,0,0.080384447,0,0.012232416,0,0,0,0.00655308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1288567,PRJEB12565,COPD_Stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1288568,PRJEB12565,COPD_Stable,0.151082677,0,0,0.049212598,0,0.039370079,0.031496063,0.013287402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1288569,PRJEB12565,COPD_Stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1288571,PRJEB12565,COPD_Stable,0.112526539,0.007696391,0.15552017,0,0,0.007961783,0.02866242,0.013269639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1288574,PRJEB12565,COPD_Stable,0,0,0.365362486,0,0,0.004315305,0.003452244,0.001438435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1288575,PRJEB12565,COPD_Stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1288576,PRJEB12565,COPD_Stable,0.068273092,0,0,0.072735386,0,0.01427934,0,0,0,0,0,0.025435074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
